row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1748,BOL : UNITEL LA PAZ HD.,BOL UNITEL LA PAZ,BOLIVIA,bo,False,,,0,no_candidate
1749,BOL : UNITEL COCHABANBA HD.,BOL UNITEL COCHABANBA,BOLIVIA,bo,False,,,83,review_required
1750,BOL : ATB SATA CRUZ HD.,BOL ATB SATA CRUZ,BOLIVIA,bo,False,,,83,review_required
1751,BOL : ATB LA PAZ HD.,BOL ATB LA PAZ,BOLIVIA,bo,False,,,0,no_candidate
1752,BOL : ATB COCHABANBA HD.,BOL ATB COCHABANBA,BOLIVIA,bo,False,,,83,review_required
1753,BOL : RTP HD,BOL RTP,BOLIVIA,bo,False,,,83,review_required
1754,BOL : BOLIVIA TV 7.2 HD,BOL BOLIVIA TV 7 2,BOLIVIA,bo,False,,,83,review_required
1755,BOL : RED GIGAVISION HD,BOL RED GIGAVISION,BOLIVIA,bo,False,,,83,review_required
1756,Cristovision,CRISTOVISION,RELIGION,,False,,,90,review_required
1757,Promar Tv,PROMAR,VENEZUELA,ve,False,,,83,review_required
1758,Mundovision HN,MUNDOVISION HN,HONDURAS,hn,False,,,83,review_required
1759,BHTV,BHTV,PERU,pe,False,,,83,review_required
1760,Cadena A,CADENA A,BOLIVIA,bo,False,,,83,review_required
1761,WAPA 2 OP2,WAPA 2 OP2,PUERTO RICO,pr,False,,,83,review_required
1762,Asiri Tv,ASIRI,PERU,pe,False,,,83,review_required
1763,Bella Asuncion Tv,BELLA ASUNCION,PERU,pe,False,,,83,review_required
1764,Conecta2 Tv,CONECTA2,PERU,pe,False,,,83,review_required
1765,JN 19,JN 19,PERU,pe,False,,,83,review_required
1766,DMJ Tv,DMJ,PERU,pe,False,,,83,review_required
1767,VM Latino,VM,PERU,pe,False,,,90,review_required
1768,Hechicera Tv,HECHICERA,PERU,pe,False,,,0,no_candidate
1769,Controversia Tv,CONTROVERSIA,PERU,pe,False,,,83,review_required
1770,Impacto Tv,IMPACTO,PERU,pe,False,,,83,review_required
1771,Master Tv,MASTER,PERU,pe,False,,,90,review_required
1772,Malu Tv,MALU,PERU,pe,False,,,83,review_required
1773,Tv Norte,TV NORTE,PERU,pe,False,,,83,review_required
1774,RTV Callao,RTV CALLAO,PERU,pe,False,,,83,review_required
